Geneid,HBR_1.bam,HBR_2.bam,HBR_3.bam,UHR_1.bam,UHR_2.bam,UHR_3.bam
AC007308.7,0,0,0,0,0,0
CRKL,343,423,367,758,482,613
XXbac-B135H6.15,5,3,4,1,6,0
AIFM3,85,82,100,7,13,10
LZTR1,140,179,126,297,188,223
XXbac-B135H6.18,4,5,1,1,2,1
THAP7,36,56,39,95,77,87
THAP7-AS1,4,7,6,9,2,4
TUBA3FP,2,1,2,6,6,5
P2RX6,35,33,31,23,19,27
SLC7A4,19,25,14,9,4,3
AC002472.11,0,0,1,0,0,0
MIR649,0,0,0,0,0,1
P2RX6P,5,2,2,0,1,2
LRRC74B,0,2,2,1,1,1
TUBA3GP,0,0,0,0,0,0
BCRP2,1,0,0,0,1,0
KB-1592A4.15,0,0,0,0,0,0
POM121L7,1,0,1,0,0,0
E2F6P2,0,1,0,0,0,0
FAM230B,0,0,0,0,1,0
KB-1592A4.14,0,0,0,0,0,0
GGT2,0,0,1,3,2,0
E2F6P3,0,0,0,0,0,0
POM121L8P,0,0,0,0,0,0
BCRP6,0,0,0,0,0,0
KB-1183D5.13,0,0,0,0,0,0
KB-1183D5.14,0,0,0,0,0,0
PPP1R26P5,0,0,0,0,1,0
KB-1183D5.18,0,0,0,0,0,0
KB-1183D5.16,0,0,0,0,0,0
RIMBP3B,0,1,0,0,2,2
RN7SKP63,0,0,0,0,0,0
HIC2,29,25,28,209,106,140
TMEM191C,1,1,6,1,5,3
PI4KAP2,28,26,20,96,60,67
RN7SKP221,0,0,0,0,0,0
RIMBP3C,0,0,0,0,1,0
UBE2L3,207,241,198,470,310,346
YDJC,18,28,24,155,83,125
CCDC116,2,0,1,5,3,2
KB-1440D3.14,0,0,0,2,1,1
SDF2L1,5,14,3,51,34,44
PPIL2,60,65,60,243,146,211
MIR301B,0,0,0,0,0,0
MIR130B,0,0,0,0,0,0
KB-1440D3.13,0,0,0,4,5,1
YPEL1,25,45,31,17,9,8
RN7SL280P,1,0,1,1,1,0
MAPK1,741,955,901,840,502,664
RNA5SP493,0,0,1,3,4,1
KB-1027C11.4,0,1,1,1,0,1
PPM1F,80,106,108,217,140,169
LL22NC03-86G7.1,26,50,28,69,74,70
TOP3B,2,0,1,12,10,7
PRAMENP,0,0,0,0,0,0
IGLVI-70,0,0,0,0,1,0
IGLV4-69,0,0,0,0,0,0
IGLVI-68,0,0,0,0,0,0
LL22NC03-23C6.13,0,0,0,0,1,0
LL22NC03-23C6.12,0,0,0,0,1,0
IGLV10-67,0,0,0,0,0,0
LL22NC03-23C6.15,0,0,0,0,0,0
IGLVIV-66-1,0,0,0,0,0,0
IGLVV-66,0,0,0,0,0,0
IGLVIV-65,0,0,0,0,0,0
IGLVIV-64,0,0,0,0,0,0
IGLVI-63,0,0,0,0,1,0
IGLV1-62,0,0,0,0,2,0
LL22NC03-88E1.18,0,0,0,0,0,0
IGLV8-61,0,0,0,0,0,0
LL22NC03-88E1.17,0,0,0,0,0,0
ABHD17AP5,0,0,0,0,0,0
LL22NC03-30E12.10,0,0,0,0,0,0
LL22NC03-30E12.11,0,0,0,0,0,0
IGLV4-60,0,0,0,0,0,0
LL22NC03-30E12.13,0,0,0,0,0,0
SOCS2P2,0,0,0,0,1,0
IGLVIV-59,0,0,0,0,0,0
IGLVV-58,0,0,0,0,0,0
BMP6P1,0,0,0,0,0,0
IGLV6-57,0,0,0,1,0,0
IGLVI-56,0,0,0,0,0,0
IGLV11-55,0,0,0,0,0,0
IGLV10-54,0,0,0,0,0,0
IGLVIV-53,0,0,0,0,1,0
TOP3BP1,0,0,0,1,0,2
LL22NC03-123E1.5,0,0,0,0,1,0
VPREB1,0,0,0,1,0,1
CH17-264L24.1,12,12,18,16,15,13
LL22NC03-2H8.5,2,0,1,2,6,0
LL22NC03-2H8.4,0,0,0,0,0,0
LL22NC03-80A10.6,9,11,3,10,3,13
BMS1P20,3,1,7,6,1,2
IGLV5-52,1,2,3,0,0,0
IGLV1-51,1,4,1,0,1,0
IGLV1-50,1,3,0,0,0,0
LL22NC03-80A10.11,0,0,0,0,1,0
IGLV9-49,0,0,0,0,1,0
LL22NC03-75A1.9,0,0,0,0,0,0
IGLV5-48,0,0,0,0,0,0
IGLV1-47,0,0,0,0,0,0
LL22NC03-22A12.9,0,0,0,0,1,0
IGLV7-46,0,0,0,0,0,0
LL22NC03-22A12.12,0,0,0,0,0,0
IGLV5-45,0,0,0,0,0,0
IGLV1-44,0,0,0,0,0,0
IGLV7-43,0,0,0,0,0,0
IGLVI-42,0,0,0,0,0,0
IGLVVII-41-1,0,0,0,0,0,0
IGLV1-41,0,0,0,0,0,0
IGLV1-40,0,0,0,0,1,0
ASH2LP1,0,0,0,0,0,0
IGLVI-38,0,0,0,0,1,0
IGLV5-37,0,0,0,0,0,0
IGLV1-36,0,0,0,0,1,0
KB-288A10.17,0,1,0,0,1,0
IGLV7-35,0,0,0,0,0,0
KB-288A10.19,0,0,1,0,1,0
ZNF280B,28,37,39,65,55,42
ZNF280A,0,0,0,11,11,14
PRAME,0,0,0,822,472,606
LL22NC03-63E9.3,0,0,0,1,1,0
IGLV2-34,0,0,0,0,0,0
IGLV2-33,0,0,0,0,0,0
IGLV3-32,0,0,0,0,0,0
IGLV3-31,0,0,0,0,1,0
IGLV3-30,0,0,0,0,0,0
BCRP4,0,0,0,0,0,0
POM121L1P,0,0,0,0,1,0
GGTLC2,0,0,0,0,1,0
IGLV3-29,0,0,0,0,1,0
AC244250.2,0,0,0,0,0,0
IGLV2-28,0,0,0,0,0,0
IGLV3-27,0,0,0,2,0,0
IGLV3-26,0,0,0,0,0,0
IGLVVI-25-1,0,0,0,0,0,0
IGLV3-25,0,0,0,0,2,0
LL22NC03-102D1.16,0,0,0,0,0,0
LL22NC03-102D1.18,0,0,0,0,0,0
IGLV3-24,0,0,0,0,0,0
IGLV2-23,0,0,0,0,0,0
AC244250.1,0,0,0,0,0,0
IGLVVI-22-1,0,0,0,0,0,0
IGLV3-22,0,0,0,0,0,0
IGLV3-21,0,0,0,0,0,0
IGLVI-20,0,0,0,0,0,0
IGLV3-19,0,0,0,0,1,0
LL22NC03-48A11.14,0,0,0,0,0,0
AC244250.4,0,0,0,0,0,0
IGLV2-18,0,0,0,0,0,0
IGLL5,0,0,0,1,0,0
IGLV3-17,0,0,0,0,0,0
IGLV3-16,0,0,0,0,0,0
IGLV3-15,0,0,0,0,0,0
AC244250.3,0,0,0,0,0,0
IGLV2-14,0,0,0,26,12,13
IGLV3-13,0,0,0,0,0,0
IGLV3-12,0,0,0,0,0,0
LL22NC03-24A12.8,0,0,0,0,0,0
LL22NC03-24A12.9,0,0,0,0,0,0
AC244157.1,0,0,0,0,0,0
IGLV2-11,0,0,0,0,0,0
LL22NC03-84E4.13,0,0,0,0,0,0
IGLV3-10,0,0,0,0,0,0
LL22NC03-84E4.11,0,0,0,0,0,0
IGLV3-9,0,0,0,0,1,0
IGLV2-8,0,0,0,0,1,0
MIR650,0,0,0,0,0,0
LL22NC03-84E4.8,0,0,0,0,1,0
IGLV3-7,0,0,0,0,0,0
IGLV3-6,0,0,0,0,0,0
AC245028.1,0,0,0,0,0,0
IGLV2-5,0,0,0,0,0,0
IGLV3-4,0,0,0,0,0,0
IGLV4-3,0,0,0,0,0,0
IGLV3-2,0,0,0,0,0,0
IGLV3-1,0,0,0,0,0,0
MIR5571,0,0,0,0,0,0
IGLJ1,0,0,0,0,0,0
IGLC1,0,0,0,0,0,0
IGLJ2,0,0,0,0,0,0
IGLC2,0,0,0,706,503,534
IGLJ3,0,0,0,0,1,0
IGLC3,0,0,0,1170,317,803
IGLJ4,0,0,0,0,0,0
IGLC4,0,0,0,0,0,0
IGLJ5,0,0,0,0,1,0
IGLC5,0,0,0,0,0,0
IGLJ6,0,0,0,0,0,0
IGLC6,0,0,0,2,1,2
IGLJ7,0,0,0,0,0,0
IGLC7,0,0,0,8,5,5
AP000361.2,0,0,0,0,0,0
AP000362.1,0,0,0,1,0,0
RSPH14,4,8,5,1,0,0
GNAZ,223,247,214,32,17,26
AC000029.1,0,1,0,0,0,0
U7,0,0,0,0,0,0
RAB36,29,30,33,20,15,17
BCR,228,357,302,332,204,270
BCRP8,0,1,0,0,0,0
RN7SL263P,1,1,0,1,0,2
FBXW4P1,2,4,5,8,6,10
AP000343.1,0,2,0,0,0,0
AP000343.2,0,0,1,0,0,0
CES5AP1,2,2,0,0,1,0
ZDHHC8P1,21,16,14,1,2,3
KB-1269D1.8,1,1,0,0,0,0
AP000344.3,0,0,0,0,1,1
AP000344.4,0,1,0,1,3,1
AP000345.1,0,0,1,0,1,0
AP000345.4,0,0,0,4,4,3
PCAT14,0,0,1,202,156,181
AP000345.2,0,0,0,0,2,0
IGLL1,0,0,0,0,0,2
KB-208E9.1,1,3,1,0,1,0
KB-1572G7.5,0,1,0,1,1,0
DRICH1,2,2,1,0,4,2
KB-1572G7.4,0,0,1,0,0,1
KB-1572G7.3,0,3,0,0,0,1
GUSBP11,1,0,1,1,0,1
AP000347.4,0,0,0,1,5,1
ASLP1,1,1,2,5,3,4
KB-1572G7.2,0,0,1,0,0,1
AP000347.2,4,4,8,12,8,4
RGL4,16,27,18,17,15,8
ZNF70,26,46,32,80,48,41
VPREB3,0,0,0,0,0,3
C22orf15,2,7,7,4,3,6
CHCHD10,44,53,39,46,36,48
MMP11,3,1,1,15,17,17
AP000349.2,0,0,0,0,0,0
SMARCB1,70,78,62,169,131,139
DERL3,4,8,7,81,43,75
KB-1125A3.11,0,3,0,1,0,2
SLC2A11,54,63,46,28,34,27
AP000350.10,0,0,0,0,0,0
KB-1125A3.12,4,4,1,8,5,6
RN7SL268P,1,1,1,4,1,2
MIF,3,3,3,3,1,1
MIF-AS1,5,1,5,8,11,12
AP000350.5,11,14,12,30,24,27
AP000350.1,0,0,0,0,0,0
AP000350.6,2,2,1,3,1,7
AP000350.7,0,0,0,0,0,0
AP000350.8,0,0,0,0,0,0
GSTT2B,3,4,3,10,4,6
KB-1125A3.10,0,0,0,0,0,0
DDTL,3,3,3,2,17,5
KB-226F1.2,1,2,1,1,4,3
DDT,4,5,4,18,8,13
AP000351.3,0,0,0,0,0,0
GSTT2,0,0,0,0,0,0
AP000351.4,0,0,0,1,0,0
GSTTP1,0,0,0,0,1,1
AP000351.13,0,0,0,0,1,0
CABIN1,280,320,309,509,296,374
KB-318B8.7,13,11,7,14,10,13
SUSD2,8,8,7,11,17,10
GGT5,22,31,23,10,4,3
AP000354.4,0,0,1,0,0,0
POM121L9P,1,1,2,0,1,1
BCRP1,0,0,0,0,0,0
AP000354.2,0,0,0,0,1,0
SPECC1L,64,80,70,156,82,101
SPECC1L-ADORA2A,0,1,0,0,1,2
ADORA2A,2,4,2,4,0,0
ADORA2A-AS1,2,5,5,6,12,4
UPB1,0,1,2,1,10,2
AP000355.2,0,0,0,0,1,0
GUCD1,62,62,62,384,214,290
SNRPD3,71,87,98,293,211,254
GGT1,9,14,13,86,42,61
LRRC75B,20,30,26,21,24,24
AP000356.2,0,0,0,0,0,0
BCRP3,2,1,2,5,5,8
POM121L10P,0,0,0,0,0,0
ARL5AP4,0,0,0,0,0,0
AP000357.4,0,0,0,0,1,0
LL22NC03-N95F10.1,0,0,0,0,0,0
AP000358.5,0,0,0,0,0,0
CRIP1P4,0,0,0,0,1,0
PIWIL3,0,0,0,1,3,0
SGSM1,151,187,161,5,8,7
SNORD56,0,0,1,0,0,0
TMEM211,0,0,1,0,1,0
KIAA1671,126,148,131,158,97,142
CTA-243E7.4,3,3,0,1,3,0
CTA-243E7.3,0,1,1,1,1,0
CTA-243E7.2,0,2,1,4,4,3
CTA-243E7.1,5,6,3,12,19,6
CTA-221G9.12,7,7,6,4,1,1
CTA-221G9.10,0,0,0,0,0,0
CRYBB3,0,1,1,1,0,0
CTA-221G9.7,0,1,0,0,0,0
CRYBB2,0,1,0,0,4,0
Z99916.1,0,0,0,0,0,0
CTA-221G9.11,0,0,0,0,0,0
RP3-462D8.2,0,0,0,0,1,0
IGLL3P,0,0,0,0,0,0
CTA-246H3.8,0,1,0,2,2,1
CTA-246H3.11,0,2,2,4,2,1
LRP5L,7,5,5,41,24,26
CTA-246H3.12,0,0,0,1,2,1
CTA-390C10.9,0,1,0,0,0,2
IGLVIVOR22-1,0,0,0,0,0,0
CRYBB2P1,24,27,23,54,37,54
MIR6817,0,0,0,0,0,0
CTA-390C10.10,10,18,11,12,8,4
AL008721.1,0,0,0,0,0,0
CTA-407F11.8,1,1,0,1,2,1
ADRBK2,206,283,260,170,134,129
CTA-407F11.7,0,0,1,2,3,5
YES1P1,3,5,4,9,4,4
RNA5SP494,0,0,0,0,0,0
MYO18B,0,0,0,86,85,66
CTA-407F11.9,0,0,0,2,1,3
CTA-125H2.2,0,0,0,1,6,4
Z98949.1,0,0,0,1,1,0
CTA-125H2.1,0,0,0,0,0,0
RN7SKP169,0,0,0,0,1,0
CTA-125H2.3,0,0,0,0,0,0
CTA-796E4.3,0,0,0,0,1,0
CTA-796E4.4,1,0,0,0,1,1
SEZ6L,399,508,463,16,17,22
RP11-259P1.1,3,5,2,0,0,0
RNA5SP495,0,0,0,0,0,0
CTB-1048E9.7,0,0,0,0,1,0
ASPHD2,44,56,80,18,13,24
HPS4,114,176,183,318,202,256
SRRD,35,37,43,62,47,51
TFIP11,60,93,52,141,77,96
CTA-445C9.14,14,23,13,27,13,17
TPST2,38,39,38,85,46,85
MIR548J,0,0,0,2,0,0
HMGB1P10,2,3,2,9,10,6
CRYBB1,2,0,1,3,3,4
CRYBA4,1,0,0,0,1,1
ISCA2P1,0,0,0,0,1,0
MIAT,429,453,443,43,34,35
MIAT_exon1,0,0,0,0,0,0
CTA-373H7.7,0,4,0,0,0,0
MIAT_exon5_1,0,0,0,0,0,0
MIAT_exon5_2,0,0,0,0,0,0
MIATNB,4,6,8,11,14,12
MIAT_exon5_3,0,0,0,0,0,0
LINC01422,2,4,6,3,9,2
RP1-40G4P.1,0,0,0,0,0,0
CTA-992D9.11,0,0,0,0,8,0
RNU6-1066P,0,0,0,0,0,0
CTA-992D9.10,0,0,0,0,0,0
CTA-992D9.9,0,0,0,0,0,0
CTA-992D9.6,1,0,0,0,2,0
CTA-992D9.8,0,0,0,1,4,0
CTA-992D9.7,0,0,0,0,1,0
CTA-503F6.2,0,0,0,0,1,0
RP5-1172A22.1,1,0,0,2,1,3
CTA-929C8.5,0,0,0,0,0,0
CTA-929C8.7,0,0,0,0,0,0
CTA-929C8.6,0,0,0,0,3,0
CTA-929C8.8,1,3,1,0,0,0
RP1-205F14P.1,0,0,0,1,0,0
RP11-46E17.6,0,0,0,0,0,0
RP1-231P7P.1,0,0,0,0,2,0
RP1-213J1P__B.1,0,0,0,2,1,1
RP1-213J1P__B.2,0,0,0,0,0,0
RP11-375H17.1,0,0,0,0,1,0
MN1,44,34,31,123,93,124
PITPNB,80,92,64,111,87,87
TTC28-AS1,42,51,66,48,46,48
TTC28-AS1_1,0,0,0,0,0,0
MIR3199-2,1,0,0,1,0,1
TTC28-AS1_2,0,0,0,0,0,0
TTC28,87,123,79,191,108,106
TTC28-AS1_3,0,0,0,0,0,0
TTC28-AS1_4,0,0,0,0,0,0
RN7SL757P,1,0,0,0,0,0
SNORD42,0,0,0,0,0,0
MIR5739,0,0,1,3,2,2
RN7SL162P,0,0,0,0,0,1
CHEK2,1,5,3,98,82,99
HSCB,7,9,11,35,20,18
CCDC117,68,75,58,259,176,175
XBP1,67,102,79,1082,636,767
Z93930.1,0,0,0,1,0,1
CTA-292E10.6,4,7,2,10,12,16
CTA-292E10.8,1,0,0,4,3,2
CTA-292E10.7,0,0,0,0,0,0
ZNRF3,97,103,102,99,89,83
ZNRF3-IT1,1,6,3,4,3,2
ZNRF3-AS1,6,3,3,8,2,2
C22orf31,0,2,0,0,1,0
KREMEN1,50,62,36,75,59,69
CTA-747E2.10,1,0,2,0,0,0
Z95116.1,0,0,0,0,0,0
RNU6-810P,1,0,0,0,0,0
RNU6-1219P,0,0,0,0,0,0
EMID1,11,19,29,12,6,7
RHBDD3,23,40,33,79,57,67
CTA-984G1.5,2,1,3,9,3,5
EWSR1,346,356,357,920,675,835
GAS2L1,73,77,66,32,23,34
RASL10A,9,27,17,0,2,0
AC002059.10,0,0,1,1,1,0
AP1B1,230,272,256,358,244,272
MIR3653,0,0,0,0,0,0
SNORD125,0,0,0,0,0,0
AC000041.8,0,0,0,0,0,0
RFPL4AP6,0,0,0,0,1,0
RFPL1S,116,107,115,6,2,0
AC000041.10,0,0,0,0,0,0
RFPL1,0,0,0,0,0,0
AC000035.3,0,0,0,0,0,0
NEFH,194,265,253,27,24,21
THOC5,73,123,65,218,137,149
CTA-256D12.11,0,0,1,1,2,0
NIPSNAP1,105,131,119,291,188,233
NF2,206,270,235,445,307,342
RPEP4,2,4,1,2,0,3
RP1-76B20.11,0,1,0,0,1,0
RP1-76B20.12,0,0,0,0,0,0
CABP7,18,21,25,2,1,6
ZMAT5,16,12,6,20,20,12
UQCR10,83,94,104,185,98,137
ASCC2,35,42,39,144,91,131
MTMR3,36,46,35,29,15,17
AC004819.1,1,0,1,0,1,0
RNU6-331P,0,0,0,0,0,0
AC003681.1,0,0,1,0,0,0
RP3-394A18.1,81,94,75,86,63,78
MIR6818,0,0,0,0,0,0
HORMAD2-AS1,2,0,0,1,1,0
CNN2P1,0,1,0,0,1,0
HORMAD2,0,0,0,1,5,0
CTA-85E5.7,0,0,0,0,0,0
CTA-85E5.6,0,0,0,0,0,0
RP3-438O4.4,0,0,0,0,2,0
RP1-102K2.6,0,0,0,2,0,0
